State,Tested,Infected,Deaths,Population,Income,GDP,Unemployment
Alaska,36380,399,10,734002,59687,73205,5.8
Alabama,157566,12376,504,4908621,42334,45219,2.7
Arkansas,93701,4923,102,3038999,42566,42454,3.5
Arizona,220612,14566,704,7378494,43650,48055,4.5
California,1339316,81795,3334,39937489,62586,74205,3.9
Colorado,131837,22482,1257,5845526,56846,63882,2.5
Connecticut,185520,38430,3472,3563077,74561,76342,3.8
District of Columbia,39374,7434,400,720687,47285,200277,5.2
Delaware,44132,8037,304,982895,51449,77253,3.9
Florida,681314,45684,2052,21992985,49417,48318,2.8
Georgia,378156,38855,1675,10736059,45745,55832,3.1
Hawaii,40511,641,17,1412687,54565,64096,2.7
Iowa,107647,15349,372,3179849,48823,59977,2.8
Idaho,37847,2476,77,1826156,43155,43430,2.7
Illinois,621684,98030,4379,12659682,56933,67268,3.4
Indiana,189330,28705,1678,6745354,46646,55172,3.1
Kansas,66990,8340,173,2910357,50155,56334,3.1
Kentucky,153800,8069,366,4499692,41779,46898,4.2
Louisiana,278073,35038,2458,4645184,45542,53589,5.2
Massachusetts,476940,87925,5938,6976597,70073,82480,2.8
Maryland,208658,41546,2081,6083116,62914,68573,3.3
Maine,34776,1741,73,1345790,48241,47969,3.2
Michigan,438565,52350,5017,10045029,47582,53209,3.6
Minnesota,161835,17029,748,5700671,56374,64675,3.1
Missouri,158296,11080,616,6169270,46635,51699,3.5
Mississippi,117760,11704,554,2989260,37994,37948,5.4
Montana,28950,471,16,1086759,47120,46609,3.5
North Carolina,265008,19700,691,10611862,45834,54441,3.6
North Dakota,57731,1994,45,761723,54306,72597,2.2
Nebraska,72333,10846,132,1952570,52110,63942,2.9
New Hampshire,42869,3721,182,1371246,61405,63067,2.6
New Jersey,520182,149013,10586,8936574,67609,69378,3.8
New Mexico,142246,6192,276,2096640,41198,46954,4.8
Nevada,103703,7046,373,3139658,48225,55269,3.6
New York,1467739,352845,22843,19440469,68667,85746,3.7
Ohio,277602,28952,1720,11747694,48242,57492,4.1
Oklahoma,145218,5489,294,3954821,46128,50613,3.2
Oregon,99630,3726,140,4301089,49908,56956,3.3
Pennsylvania,349700,63666,4624,12820878,55349,61594,4.7
Rhode Island,11633,2805,124,1056161,54523,57852,3.4
South Carolina,117246,12951,532,5210095,42736,45280,2.5
South Dakota,135063,9056,399,903027,50141,58624,3.3
Tennessee,29045,4027,44,6897576,47179,53933,3.4
Texas,346123,18378,305,29472295,49161,61167,3.5
Utah,744937,49912,1369,3282115,45340,55550,2.5
Virginia,177311,7518,88,8626207,56952,62563,2.6
Vermont,201183,32145,1041,628061,53598,53523,2.4
Washington,24591,944,54,7797095,60781,74182,3.8
Wisconsin,293120,18811,1031,5851754,50756,57720,3.5
West Virginia,161122,12885,467,1778070,40578,43053,4.9
Wyoming,78611,1514,68,567025,60095,69900,3.7